date,temp_avg,temp_max,temp_min,humidity,pressure,wind_speed,precip
2016-01-01,1.2,4.0,-3.3,73.0,1019.9,1.6,0.0
2016-01-02,5.7,9.5,1.0,76.9,1012.0,2.0,0.0
2016-01-03,6.5,9.4,5.1,80.6,1008.9,1.8,0.0
2016-01-04,2.0,5.3,-2.5,54.4,1013.1,3.1,0.0
2016-01-05,-2.7,1.5,-4.8,39.4,1016.9,2.3,0.0
2016-01-06,-1.7,1.7,-4.9,54.3,1014.7,1.8,0.0
2016-01-07,-3.4,1.4,-5.9,51.8,1013.9,2.5,0.0
2016-01-08,-3.3,1.0,-6.9,49.8,1012.6,2.0,0.0
2016-01-09,-2.1,2.4,-6.2,57.1,1014.3,2.1,0.0
2016-01-10,0.3,3.8,-2.7,42.3,1015.5,2.6,0.0
2016-01-11,-3.8,0.9,-6.5,38.3,1016.1,2.8,0.0
2016-01-12,-5.2,0.7,-9.1,46.0,1013.3,2.5,0.0
2016-01-13,-4.5,0.1,-8.2,63.0,1009.5,2.0,0.4
2016-01-14,-3.4,1.3,-8.4,52.1,1011.0,1.7,0.0
2016-01-15,-0.4,5.3,-4.3,52.3,1010.9,1.8,0.0
2016-01-16,-0.2,2.8,-2.1,68.0,1012.1,2.9,0.1
2016-01-17,1.7,5.4,-0.7,64.0,1006.4,2.4,0.0
2016-01-18,-6.3,0.4,-12.3,59.8,1003.9,4.8,0.2
2016-01-19,-12.8,-8.9,-15.1,45.9,1011.7,5.4,0.0
2016-01-20,-10.5,-5.2,-14.5,43.6,1019.7,1.8,0.0
2016-01-21,-7.1,-2.3,-10.2,44.3,1017.9,1.8,0.0
2016-01-22,-7.6,-3.8,-11.1,40.5,1021.1,2.6,0.0
2016-01-23,-11.5,-8.3,-16.0,42.0,1019.1,4.0,0.0
2016-01-24,-14.4,-10.5,-18.0,48.5,1014.9,3.2,0.0
2016-01-25,-9.4,-3.4,-14.3,47.1,1018.0,1.9,0.0
2016-01-26,-3.3,1.7,-8.5,64.5,1016.3,2.3,0.3
2016-01-27,-1.1,4.3,-4.7,56.3,1019.0,2.0,0.0
2016-01-28,-0.5,3.5,-5.6,51.5,1018.2,1.6,0.0
2016-01-29,1.9,5.4,-1.4,43.6,1014.6,2.3,0.0
2016-01-30,0.6,5.2,-2.5,59.5,1015.4,2.0,0.0
2016-01-31,-3.9,0.3,-6.5,34.0,1018.4,3.2,0.0
2016-02-01,-6.0,-1.0,-9.1,36.0,1018.5,3.0,0.0
2016-02-02,-5.3,0.9,-10.0,41.8,1017.6,2.2,0.0
2016-02-03,-2.4,4.0,-8.3,49.6,1016.9,1.9,0.0
2016-02-04,-0.7,3.9,-4.0,50.1,1014.9,2.4,0.0
2016-02-05,-2.2,3.4,-6.8,39.4,1013.1,2.5,0.0
2016-02-06,-3.1,2.0,-6.2,38.6,1012.6,2.9,0.0
2016-02-07,-2.9,3.5,-8.3,46.5,1012.0,2.0,0.0
2016-02-08,1.3,5.5,-4.3,62.1,1004.8,3.1,0.0
2016-02-09,0.3,5.5,-3.9,52.5,1011.3,3.0,0.0
2016-02-10,2.7,10.7,-4.3,38.5,1015.2,1.6,0.0
2016-02-11,8.1,13.5,1.6,29.3,1013.7,3.5,0.1
2016-02-12,8.4,10.0,6.8,95.3,1006.9,3.2,18.0
2016-02-13,11.0,14.4,5.8,95.0,996.3,3.3,21.0
2016-02-14,-2.6,5.8,-6.8,73.1,1003.1,4.6,2.5
2016-02-15,-5.8,-2.3,-10.0,48.4,1010.4,4.0,0.0
2016-02-16,-2.7,1.1,-6.7,65.6,1007.7,2.7,0.8
2016-02-17,0.0,5.4,-5.2,53.9,1013.5,2.3,0.0
2016-02-18,3.5,7.8,-1.4,66.4,1010.8,3.2,0.0
2016-02-19,2.3,4.4,0.1,56.4,1016.2,1.7,0.0
2016-02-20,1.3,6.3,-2.5,37.1,1013.2,2.9,0.0
2016-02-21,-0.6,4.4,-4.2,36.4,1019.2,2.9,0.0
2016-02-22,1.1,4.2,-2.2,36.6,1019.4,1.9,0.0
2016-02-23,0.7,4.5,-4.5,56.0,1019.0,3.2,0.9
2016-02-24,-3.0,2.2,-6.8,42.0,1022.4,2.9,0.0
2016-02-25,-0.2,5.7,-5.8,49.9,1021.7,2.7,0.0
2016-02-26,2.2,7.5,-3.2,41.3,1017.3,2.2,0.0
2016-02-27,3.3,8.1,0.5,57.6,1013.7,2.0,0.2
2016-02-28,0.7,6.9,-2.6,65.5,1011.3,2.1,4.1
2016-02-29,-3.8,-1.1,-5.9,48.6,1014.4,4.0,0.0
2016-03-01,-2.7,2.1,-7.5,47.3,1017.2,2.5,0.0
2016-03-02,3.1,8.1,-2.2,67.9,1014.1,2.9,0.0
2016-03-03,8.1,13.9,4.4,65.1,1013.2,1.9,0.0
2016-03-04,13.2,20.3,6.4,55.3,1013.4,2.7,0.1
2016-03-05,11.3,13.5,9.1,91.3,1007.9,2.6,40.0
2016-03-06,7.9,12.9,4.3,51.0,1009.0,2.8,0.2
2016-03-07,8.1,12.2,4.8,36.9,1007.6,2.0,0.0
2016-03-08,2.7,7.0,-1.4,40.4,1012.3,3.1,0.0
2016-03-09,0.3,5.3,-2.7,37.5,1013.2,3.5,0.0
2016-03-10,-1.1,3.1,-4.3,37.8,1015.6,3.2,0.0
2016-03-11,-0.5,4.6,-5.5,43.8,1014.7,2.6,0.0
2016-03-12,2.0,6.4,-3.3,55.6,1014.1,2.5,0.0
2016-03-13,3.7,6.5,1.9,68.1,1013.6,1.6,0.1
2016-03-14,4.7,9.6,1.3,57.0,1012.0,2.6,0.0
2016-03-15,5.2,12.4,-1.0,43.4,1012.8,2.2,0.0
2016-03-16,7.5,13.8,2.7,45.1,1011.5,2.0,0.0
2016-03-17,9.3,14.7,2.0,40.9,1009.7,1.4,0.0
2016-03-18,13.4,20.1,8.8,50.0,1002.0,2.4,0.0
2016-03-19,11.4,18.1,6.6,58.3,1004.2,2.5,0.0
2016-03-20,10.6,17.5,4.9,54.0,1009.9,2.2,0.0
2016-03-21,9.9,16.1,5.5,54.1,1012.3,2.2,0.0
2016-03-22,8.0,13.8,3.5,58.1,1008.7,2.5,0.0
2016-03-23,8.2,13.8,3.8,49.6,1008.9,2.9,0.0
2016-03-24,7.2,12.7,1.6,36.5,1013.8,2.4,0.0
2016-03-25,7.1,12.6,2.1,43.9,1013.0,2.2,0.0
2016-03-26,6.5,12.6,2.1,54.5,1010.8,2.2,0.0
2016-03-27,7.2,13.1,2.2,55.6,1009.7,2.6,0.0
2016-03-28,9.8,17.4,2.3,47.8,1010.6,2.0,0.0
2016-03-29,11.3,17.1,7.6,57.8,1007.6,3.2,0.1
2016-03-30,11.5,18.3,7.0,49.9,1009.3,2.2,0.0
2016-03-31,13.5,21.4,6.0,27.0,1006.2,2.1,0.0
2016-04-01,15.3,23.8,7.3,26.0,1005.0,2.0,0.0
